Source;ID Name;ID CAS Nr;ID EG Nr;ID EG Annex Nr;EHS S Score;EHS H Score;EHS E Score;EHS Color Code;Boiling Point  (øC);Melting Point  (øC);Vapour Pressure (25øC mmHg);Flash Point  (øC);Autoignition Temperature  (øC);Hansen Delta D (MPa1/2);Hansen Delta P (MPa1/2);Hansen Delta H (MPa1/2);Solubility Water (20 øC g/L);Density (25øC  kg/L);Viscosity (25øC  mPa.s);Relative Vapour Density  (Air=1);Log P Octanol Water (20øC);Refractive Index (20øC);Surface Tension (25øC mN/m)
DataType;string;string;string;string;numeric;numeric;numeric;string;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric;numeric
Mixed;diethylsuccinate;123-25-1;204-612-0;NAV;1;5;7;FFD700;217,7;-21;0,043878608;99,5;365;16,1;7,7;8,8;1,9;1,04;1,05;6,01;1,26;1,42;31,37
Mixed;diethyl phtalate;84-66-2;NAV;NAV;1;0;7;FFD700;295;-0,3;0,002100173;117;457;17,6;9,6;4,5;1;1,12;10,6;7,7;2,42;1,5;36,06
Mixed;Dibutyl phthalate;84-74-2;201-557-4;NAV;1;9;7;FF6347;340;-35;2,01017E-05;177,4;390;17,8;8,6;4,1;0,13;1,05;16,48;1,043;5,38;1,49;35,26
Mixed;Diethyl malonate;105-53-3;203-305-9;NAV;1;2;5;9ACD32;200;-50;0,270022206;100;424;16,1;7,7;8,3;20;1,06;1,94;5,52;0,5027;1,413;31,3
Mixed;isopropylacetate;108-21-4;203-561-1;NAV;4;2;3;9ACD32;88,6;-73,4;60,37996548;2;460;14,9;4,5;8,2;31;0,89;0,56;3,5;1,03;1,3773;22,1
Mixed;n-propylacetate;109-60-4;203-686-1;NAV;5;2;3;9ACD32;101,5;-93;35,92795462;12,8;450;15,3;4,3;7,6;33;0,89;0,54;3,5;1,5;1,38;23,8
Mixed;Amyl acetate, n-;628-63-7;NAV;NAV;3;0;5;9ACD32;149,2;-70,8;3,50278806;23,9;375;15,8;3,3;6,1;1,7;0,88;0,86;4,5;1,74;1,403;25,17
Mixed;Isoamyl acetate;123-92-2;204-662-3;NAV;3;1;5;9ACD32;142,5;-78,5;5,602960772;25;379;15,3;3,1;7;2;0,88;0,79;4,49;2,26;1,398;24,28
Mixed;Isobutyl acetate;110-19-0;203-745-1;NAV;4;2;3;9ACD32;116,5;-98,8;17,77646189;20;427;15,1;3,7;6,3;7;0,88;0,69;4;1,72;1,4;23,7
Caldic;n-Butyl Acetate;123-86-4;NAV;NAV;4;2;3;9ACD32;126,4;-78;11,498;26,5;421,11;15,8;3,7;6,3;11,4;0,876;0,6;4;1,81;1,3941;25,09
Caldic;n-Butyl Propionate;590-01-2;NAV;NAV;3;0;5;9ACD32;146,4;-90;3,44;38,5;426,11;15,7;5,5;5,9;5,72;0,871;0,78;4,5;2,34;1,401;24,89
