Input	ID_Name_1	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Flash_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s
DataType	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric
PARIS III	propan-1-ol	71-23-8	200-746-9	NAV	97.2	-126.1	15	2.10E+01	0.8	1.96
PARIS III	butyl alcohol	71-36-3	200-751-6	NAV	117.7	-89.8	35	6.70E+00	0.8	2.55
PARIS III	pentan-1-ol	71-41-0	200-752-1	NAV	137.9	-78.9	48.9	2.20E+00	0.81	3.98
PARIS III	benzene	71-43-2	NAV	NAV	80	5.5	-11	9.45E+00	0.87	0.61
PARIS III	1,1,1-tris(chloranyl)ethane	71-55-6	NAV	NAV	74	-30.4	0.61	1.24E+01	1.34	0.79
PARIS III	iodanylmethane	74-88-4	200-819-5	NAV	42.5	-66.4	7.8	4.04E+01	2.28	0.47
PARIS III	bis(bromanyl)methane	74-95-3	200-824-2	NAV	97	-52.5	97	4.43E+01	2.43	1.23
PARIS III	bromanylethane	74-96-4	200-825-8	NAV	38.5	-118.6	-8.21	4.67E+01	1.46	0.37
PARIS III	bromanyl(chloranyl)methane	74-97-5	NAV	NAV	68	-87.9	11	1.43E+01	1.86	0.66
PARIS III	iodanylethane	75-03-6	200-833-1	NAV	72.5	-111.1	27.13	1.37E+01	1.9	0.55
PARIS III	ethanenitrile	75-05-8	200-835-2	NAV	81.6	-43.8	2	8.85E+00	0.79	0.36
PARIS III	ethanethiol	75-08-1	200-837-3	NAV	35.1	-147.8	-17.2	5.29E+01	0.82	0.29
PARIS III	bis(chloranyl)methane	75-09-2	200-838-9	NAV	40	-95.1	39.5	4.34E+01	1.25	0.41
PARIS III	bis(iodanyl)methane	75-11-6	200-841-5	NAV	182	6.1	91.93	1.20E+00	3.32	2.58
PARIS III	methanamide	75-12-7	200-842-0	NAV	220	2.55	175	6.10E-02	1.13	3.37
PARIS III	methylsulfanylmethane	75-18-3	200-846-2	NAV	37.3	-98.3	-36.7	5.03E+01	0.82	0.28
PARIS III	tris(bromanyl)methane	75-25-2	200-854-6	NAV	149.1	8	44	5.40E+00	2.89	1.86
PARIS III	2-bromanylpropane	75-26-3	200-855-1	NAV	59.5	-89	19.4	2.16E+01	1.34	0.46
PARIS III	bromanyl-bis(chloranyl)methane	75-27-4	NAV	NAV	90	-57	1.3	9.15E+00	1.98	0.79
PARIS III	2-chloranylpropane	75-29-6	NAV	NAV	35.7	-117.2	-32	5.15E+01	0.86	0.3
PARIS III	Propane, 2-iodo-	75-30-9	200-859-3	NAV	89.5	-90	42	4.31E+01	1.7	0.65
PARIS III	propan-2-amine	75-31-0	200-860-9	NAV	31.7	-95.1	4.86	5.80E+01	0.72	0.32
PARIS III	propane-2-thiol	75-33-2	200-861-4	NAV	52.5	-130.5	-34	2.77E+01	0.82	0.36
PARIS III	1,1-bis(chloranyl)ethane	75-34-3	NAV	NAV	57.4	-96.9	-10	2.27E+01	1.17	0.46
PARIS III	1,1-Dichloroethylene	75-35-4	200-864-0	NAV	31.6	-122.5	-25	6.00E+01	1.21	0.35
PARIS III	ethanoyl chloride	75-36-5	200-865-6	NAV	50.7	-112.8	4.4	2.87E+01	1.1	0.37
PARIS III	nitromethane	75-52-5	200-876-6	NAV	101.1	-28.5	35	3.58E+01	1.06	0.61
PARIS III	2-methyloxirane	75-56-9	200-879-2	NAV	35	-111.9	-37	5.39E+01	0.9	0.28
PARIS III	bromanyl-tris(chloranyl)methane	75-62-7	200-886-0	NAV	105	-5.7	18.6	3.90E+01	2.01	1.2
PARIS III	2-methylpropan-2-amine	75-64-9	200-888-1	NAV	45	-72.65	-9	3.73E+01	0.7	0.67
PARIS III	2-methylpropane-2-thiol	75-66-1	200-890-2	NAV	64	-0.5	-24	1.82E+01	0.8	0.58
PARIS III	methanesulfonic acid	75-75-2	200-898-6	NAV	254.25	20	189	7.95E-02	1.48	36.65
PARIS III	1,2-bis(bromanyl)-1,1-bis(chloranyl)ethane	75-81-0	NAV	NAV	195	-26	44.36	9.00E-01	2.34	2.68
PARIS III	1,2-bis(bromanyl)-1,1-bis(fluoranyl)ethane	75-82-1	NAV	NAV	92.5	-61.3	9.5	4.60E+01	2.22	0.91
PARIS III	2,2-dimethylbutane	75-83-2	200-906-8	NAV	49.7	-123.56	-48	3.20E+01	0.65	0.35
PARIS III	2-methylbutan-2-ol	75-85-4	200-908-9	NAV	102.4	-9.1	21.1	1.67E+01	0.81	4
PARIS III	2-methyl-2-oxidanyl-propanenitrile	75-86-5	200-909-4	NAV	171	-19	73	3.40E-01	0.93	9.35
PARIS III	2,2,2-tris(chloranyl)ethanal	75-87-6	NAV	NAV	97.8	-57.5	14.9	5.00E+01	1.51	1.27
PARIS III	2,2,2-tris(fluoranyl)ethanol	75-89-8	200-913-6	NAV	74	-43.5	29.4	7.13E+01	1.32	1.92
PARIS III	3,3-dimethylbutan-2-one	75-97-8	200-920-4	NAV	106.1	-52.5	23.9	3.15E+01	0.8	0.67
PARIS III	2,2-bis(chloranyl)propanoic acid	75-99-0	NAV	NAV	187.5	-5	88.47	1.50E-01	1.4	3.23
PARIS III	1,1,1,2,2-pentakis(chloranyl)ethane	76-01-7	NAV	NAV	159.8	-29	48.02	3.50E+00	1.72	2.27
PARIS III	2,2,2-tris(chloranyl)ethanoyl chloride	76-02-8	NAV	NAV	117.9	-31.8	31	2.13E+01	1.74	1.57
PARIS III	2,2,2-tris(fluoranyl)ethanoic acid	76-05-1	200-929-3	NAV	73	-15.2	-3	80.26	1.54	0.81
PARIS III	tris(chloranyl)-nitro-methane	76-06-2	NAV	NAV	112	-64	73	2.39E+01	1.66	1.32
PARIS III	1,1,2-tris(chloranyl)-1,2,2-tris(fluoranyl)ethane	76-13-1	NAV	NAV	47.7	-35	5.92	3.63E+01	1.58	0.65
PARIS III	1,2,3-tris(chloranyl)-1,1,2,3,3-pentakis(fluoranyl)propane	76-17-5	NAV	NAV	73.7	-72	11.4	1.20E+01	1.67	0.53
PARIS III	2,2,3-tris(chloranyl)butanal	76-36-8	NAV	NAV	164	17.22	65.05	1.73E+00	1.35	1.23
PARIS III	2,2,3,3-tetrakis(fluoranyl)propan-1-ol	76-37-9	200-955-5	NAV	109.5	-15	43	1.47E+01	1.47	2.92
PARIS III	2,2-bis(chloranyl)-1,1-bis(fluoranyl)-1-methoxy-ethane	76-38-0	NAV	NAV	105	-35	63	4.04E+01	1.39	0.6
PARIS III	diethyl 2,2-diethylpropanedioate	77-25-8	NAV	NAV	230	-8.36	94.4	2.16E-02	0.99	2.78
PARIS III	1,2,3,4,5,5-hexakis(chloranyl)cyclopenta-1,3-diene	77-47-4	NAV	NAV	239	-9	150	6.00E-02	1.7	0.25
PARIS III	(2,2,4-trimethyl-3-oxidanyl-pentyl) 2-methylpropanoate	77-68-9	NAV	NAV	245.5	20.13	85.1	8.33E-03	0.95	9.21
PARIS III	4,7-Methano-1H-indene, 3a,4,7,7a-tetrahydro-	77-73-6	201-052-9	NAV	170	-1	46.8	2.29E+00	1.05	3.01
PARIS III	3-methylpentan-3-ol	77-74-7	NAV	NAV	122.4	-23.6	156	5.56E+00	0.83	2.85
PARIS III	2,2-dimethoxypropane	77-76-9	201-056-0	NAV	83	-47	-5.11	1.02E+01	0.84	0.49
PARIS III	dimethyl sulfate	77-78-1	201-058-1	NAV	175.75	-27	83.33	6.80E-01	1.32	3.33
PARIS III	triethyl 2-acetyloxypropane-1,2,3-tricarboxylate	77-89-4	NAV	NAV	289.36	20.27	119.59	3.27E-05	1.14	0.4
PARIS III	tributyl 2-acetyloxypropane-1,2,3-tricarboxylate	77-90-7	NAV	NAV	270.48	-80	175.1	5.03E-06	1.08	1.03
PARIS III	tributyl 2-oxidanylpropane-1,2,3-tricarboxylate	77-94-1	201-071-2	NAV	295.27	-20	242.3	5.27E-06	1.06	7.16
PARIS III	1,1-diethylcyclohexane	78-01-3	NAV	NAV	179.21	-56.34	48.53	2.16E+00	0.78	2.45
PARIS III	triethoxymethoxyethane	78-09-1	NAV	NAV	159.5	-48.07	52.8	1.05E+00	0.95	1.72
PARIS III	3,7-dimethylocta-1,6-dien-3-yl 2-methylpropanoate	78-35-3	NAV	NAV	229	-8.02	89.74	1.05E-02	0.89	1.19
PARIS III	1-[ethoxy(ethyl)phosphoryl]oxyethane	78-38-6	201-111-9	NAV	198	-72.39	92.7	7.24E-02	1.01	2.24
PARIS III	1,1,1-triethoxyethane	78-39-7	201-112-4	NAV	145	-44.48	36.1	3.87E+00	0.9	1.04
PARIS III	triethyl phosphate	78-40-0	201-114-5	NAV	215.5	-56.4	115.6	3.90E-01	1.07	1.8
PARIS III	tris(2-ethylhexyl) phosphate	78-42-2	NAV	NAV	351	-74	206.6	8.25E-08	0.92	15.85
PARIS III	tris[2,3-bis(chloranyl)propyl] phosphate	78-43-3	NAV	NAV	312.72	14.28	220.02	4.85E-04	1.48	12.94
PARIS III	1-[butoxy(butyl)phosphoryl]oxybutane	78-46-6	NAV	NAV	279.67	-70.91	153.45	9.08E-04	0.98	6.21
PARIS III	tris(2-butoxyethyl) phosphate	78-51-3	201-122-9	NAV	317.82	-70	241.5	4.92E-05	1.03	13.27
PARIS III	3,5,5-trimethylcyclohex-2-en-1-one	78-59-1	201-126-0	NAV	215.2	-8.1	84.4	4.40E-01	0.9	4.8
PARIS III	3,3-bis(chloromethyl)oxetane	78-71-7	NAV	NAV	186.26	18.7	115.8	1.45E+00	1.24	1.67
