Input	ID_Name_1	label	ID_CAS_Nr_1	ID_EG_Nr	ID_EG_Annex_Nr	Boiling_Point_Minimum_°C	Melting_Point_Minimum_°C	Vapour_Pressure_25°C_mmHg	Flash_Point_Minimum_°C	Autoignition_Temperature_Minimum_°C	Hansen_Delta_D_MPa1/2	Hansen_Delta_P_MPa1/2	Hansen_Delta_H_MPa1/2	Solubility_Water_g/L	Dielectric_Constant_20°C	Density_25°C_Minimum_kg/L	Viscosity_25°C_Minimum_mPa.s	Evaporation_Speed_Butyl_Acetate=1	Relative_Vapour_Density_Minimum_Air=1	Log_P_Octanol_Water_20°C	Refractive_Index_20°C	Surface_Tension_25°C_mN/m	Specific_Heat_Capacity_20°C_kJ/kg.°C
DataType	string	string	string	string	string	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
Randomisation Range	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV	NAV
PARIS III	hexane	0	110-54-3	203-777-6	NAV	68.7	-95.3	150.762398283	-11.82	223	14.9	0	0	0.013	1.88	0.66	0.3	6.82	2.97	4.11	1.375	17.88	2.268275702
PARIS III	heptane	0	142-82-5	205-563-8	NAV	98.5	-90.6	46.0537873362	-1.1	215	15.3	0	0	0.0022	1.925	0.7	0.39	2.8	3.5	4.66	1.388	19.65	2.2445375636
PARIS III	2-methylbutane	0	78-78-4	NAV	NAV	27.8	-159.9	688.56	-51	420	13.8	0	0	0.0485	1.845	0.65	0.21	13	2.48	3.3	1.351	14.44	2.3
PARIS III	propylbenzene	1	103-65-1	203-132-9	NAV	159.2	-99.5	3.4202812745	42.1	450	17.5	2.8	3.4	0.0234	2.4	0.86	0.84	0.89	4.14	3.2	1.4912	28.44	1.7475984178
PARIS III	ethylbenzene	1	100-41-4	202-849-4	NAV	136.1	-94.9	9.6007895424	25.94	432	17.8	0.6	1.4	0.2	2.5	0.86	0.63	0.89	3.7	3.15	1.493	28.74	1.7475984178
PARIS III	toluene	1	108-88-3	203-625-9	NAV	110.6	-94.9	28.3523316174	10	535	18	1.4	2	0.5	2.4	0.87	0.55	2.4	3.1	2.65	1.4961	27.93	1.5950081389
PARIS III	pentan-2-one	2	107-87-9	203-528-1	NAV	102.2	-76.9	35.4029114376	7.2	505	16	7.6	4.7	43	13.6	0.8	0.47	2.3	2.9	0.91	1.389	23.25	2.1398723157
PARIS III	4-methylpentan-2-one	2	108-10-1	203-550-1	NAV	116.5	-84	19.8766345995	13.3	460	15.3	6.1	4.1	17	13.11	0.8	0.54	1.60	3.45	1.19	1.3962	23.6	2.1542223997
PARIS III	butan-2-one	2	78-93-3	201-159-0	NAV	79.5	-86.6	95.33	9	404	16	9	5.1	290	18.56	0.79	0.4	4.78	2.5	0.29	1.3788	23.96	2.2037165442
PARIS III	ethanol	3	64-17-5	200-578-6	NAV	78.2	-114.1	59.3298791253	8.89	365	15.8	8.8	19.4	-1	25.16	0.78	1.07	2.00	1.59	-0.32	1.3611	21.82	2.46
PARIS III	propan-2-ol	3	67-63-0	NAV	NAV	82.3	-89.5	45.3787318215	11.67	425	15.8	6.1	16.4	-1	18.3	0.79	2.04	1.7	2.1	0.05	1.3776	21.3	2.9951755116
PARIS III	propan-1-ol	3	71-23-8	200-746-9	NAV	97.2	-126.1	21.001727124	15	405	16	6.8	17.4	-1	21.8	0.8	1.96	1.00	2.07	0.34	1.385	23.32	2.3937780735
Caldic	n-Butyl Acetate	4	123-86-4	NAV	NAV	126.4	-78	11.498	26.5	421.11	15.8	3.7	6.3	11.4	5.01	0.876	0.6	1	4	1.81	1.3941	25.09	1.9659149595
Caldic	n-Butyl Propionate	4	590-01-2 	NAV	NAV	146.4	-90	3.44	38.5	426.11	15.7	5.5	5.9	5.72	4.838	0.871	0.78	0.45	4.5	2.34	1.401	24.89	1.9659149595
Caldic	n-Propyl Propionate	4	106-36-5 	NAV	NAV	122.8	-76	14.263	22.5	434.9	15.5	5.6	5.7	6	5.249	0.876	0.64	1.20	4	1.804	1.392	24.21	1.9659149595
PARIS III	dipropylether	5	111-43-3	203-869-6	NAV	90	-122	62.56	-20	215	15.1	3.2	3.2	3	3.38	0.74	0.4	8.42	3.53	2.03	1.366	19.98	2.3268141354
